Starting Sweep: Batch Size: 64, Learning Rate: 0.0001
Making datasets and defining subsets
Training: 60000 -> 6000
Testing: 10000 -> 1000
Making Dataloaders
Defining network
2024-06-14 15:06:42.256837
Scaler Value: 0.013513513513513514
Training - 2024-06-14 15:06:42.257830
[1/9, 1/94] Training Loss: 0.0694 - Iteration Time: 0:00:01.801175
[1/9, 2/94] Training Loss: 0.0699 - Iteration Time: 0:00:01.316241
[1/9, 3/94] Training Loss: 0.0716 - Iteration Time: 0:00:01.341051
[1/9, 4/94] Training Loss: 0.0716 - Iteration Time: 0:00:01.310819
[1/9, 5/94] Training Loss: 0.0704 - Iteration Time: 0:00:01.280063
[1/9, 6/94] Training Loss: 0.0691 - Iteration Time: 0:00:01.282024
[1/9, 7/94] Training Loss: 0.0687 - Iteration Time: 0:00:01.369365
[1/9, 8/94] Training Loss: 0.0688 - Iteration Time: 0:00:01.329652
[1/9, 9/94] Training Loss: 0.0686 - Iteration Time: 0:00:01.426397
[1/9, 10/94] Training Loss: 0.0707 - Iteration Time: 0:00:01.295484
[1/9, 11/94] Training Loss: 0.0685 - Iteration Time: 0:00:01.388240
[1/9, 12/94] Training Loss: 0.0671 - Iteration Time: 0:00:01.282515
[1/9, 13/94] Training Loss: 0.0660 - Iteration Time: 0:00:01.287067
[1/9, 14/94] Training Loss: 0.0698 - Iteration Time: 0:00:01.280584
[1/9, 15/94] Training Loss: 0.0674 - Iteration Time: 0:00:01.275058
[1/9, 16/94] Training Loss: 0.0671 - Iteration Time: 0:00:01.301368
[1/9, 17/94] Training Loss: 0.0717 - Iteration Time: 0:00:01.261704
[1/9, 18/94] Training Loss: 0.0680 - Iteration Time: 0:00:01.275084
[1/9, 19/94] Training Loss: 0.0672 - Iteration Time: 0:00:01.251710
[1/9, 20/94] Training Loss: 0.0692 - Iteration Time: 0:00:01.271120
[1/9, 21/94] Training Loss: 0.0684 - Iteration Time: 0:00:01.392231
[1/9, 22/94] Training Loss: 0.0671 - Iteration Time: 0:00:01.278489
[1/9, 23/94] Training Loss: 0.0682 - Iteration Time: 0:00:01.296389
[1/9, 24/94] Training Loss: 0.0683 - Iteration Time: 0:00:01.274065
[1/9, 25/94] Training Loss: 0.0708 - Iteration Time: 0:00:01.329246
[1/9, 26/94] Training Loss: 0.0687 - Iteration Time: 0:00:01.397308
[1/9, 27/94] Training Loss: 0.0684 - Iteration Time: 0:00:01.407912
[1/9, 28/94] Training Loss: 0.0682 - Iteration Time: 0:00:01.296899
[1/9, 29/94] Training Loss: 0.0688 - Iteration Time: 0:00:01.264161
[1/9, 30/94] Training Loss: 0.0683 - Iteration Time: 0:00:01.260167
[1/9, 31/94] Training Loss: 0.0691 - Iteration Time: 0:00:01.307286
[1/9, 32/94] Training Loss: 0.0691 - Iteration Time: 0:00:01.271568
[1/9, 33/94] Training Loss: 0.0713 - Iteration Time: 0:00:01.266654
[1/9, 34/94] Training Loss: 0.0681 - Iteration Time: 0:00:01.262628
[1/9, 35/94] Training Loss: 0.0682 - Iteration Time: 0:00:01.297375
[1/9, 36/94] Training Loss: 0.0686 - Iteration Time: 0:00:01.389664
[1/9, 37/94] Training Loss: 0.0683 - Iteration Time: 0:00:01.269109
[1/9, 38/94] Training Loss: 0.0684 - Iteration Time: 0:00:01.266622
[1/9, 39/94] Training Loss: 0.0670 - Iteration Time: 0:00:01.277491
[1/9, 40/94] Training Loss: 0.0687 - Iteration Time: 0:00:01.269103
[1/9, 41/94] Training Loss: 0.0682 - Iteration Time: 0:00:01.249762
[1/9, 42/94] Training Loss: 0.0690 - Iteration Time: 0:00:01.322677
[1/9, 43/94] Training Loss: 0.0669 - Iteration Time: 0:00:01.427850
[1/9, 44/94] Training Loss: 0.0691 - Iteration Time: 0:00:01.256691
[1/9, 45/94] Training Loss: 0.0667 - Iteration Time: 0:00:01.281566
[1/9, 46/94] Training Loss: 0.0690 - Iteration Time: 0:00:01.261695
